N_patterns,N_iter,Mean_cos_mean,Mean_cos_std
1,100,0.9825566227420951,0.017255195796485476
2,50,0.9551026399132949,0.021552812247383254
3,33,0.9282850868562694,0.01656834088099912
4,25,0.9036359840097241,0.01862931005964482
5,20,0.8886163486522864,0.010881982533557537
10,10,0.8472033883395435,0.0074994285426081275
20,5,0.8112527499379739,0.0037477298888727597
50,2,0.7595645110453899,0.00045574641134410454
100,1,0.7002433948612841,0.0
200,1,0.6320220884923361,0.0
500,1,0.5576796807245223,0.0
