condition,F2_F3,N1_N2,F2_N1,mean_cor_CA3
exp,0.9600291592354242,0.46780032585235104,0.794354678047618,0.453549696453956
cont,0.8892538202220741,0.8867914384427474,0.39158139165927525,0.436743134698045
exp,0.9600291592354242,0.46780032585235104,0.794354678047618,0.453549696453956
exp,0.9645330311590214,0.4528551375970696,0.7877954175719896,0.4539747773004999
cont,0.8667620766340725,0.842374182027033,0.3737255778097948,0.4376877246749293
exp,nan,nan,nan,0.4539747773004999
cont,nan,nan,nan,0.4376877246749293
exp,nan,0.7655306018564516,nan,0.45385756417393475
cont,nan,0.8481608677588178,nan,0.4383545801352367
exp,nan,0.7655306018564516,nan,0.45385756417393475
cont,nan,0.8481608677588178,nan,0.4383545801352367
exp,0.9075605390768772,0.8046497547315087,0.698206349581277,0.45435232622386396
exp,nan,0.81609737682655,nan,0.45435232622386396
cont,nan,0.8867063913002086,nan,0.43721334521003796
exp,0.9122029435212261,0.765968880329968,0.6745107881125495,0.45385756417393475
cont,0.8135989563931687,0.8553807221482882,0.6290098408133985,0.45385756417393475
exp,0.7435903677662503,0.5441976357066719,0.3061022224922731,0.4535412643849923
cont,0.7700286478982872,0.6689007402279284,0.4426247275292849,0.4535412643849923
exp,0.9372386014816274,0.7994226125630794,0.7009048488498856,0.4535412643849923
exp,0.9397807704914485,0.7916166326452508,0.6924916451614443,0.4523985070952969
cont,0.9276266419983742,0.8669613358401452,0.718860621807172,0.4523985070952969
exp,0.7353127086019974,0.5800176489432178,0.33339158584893924,0.4523985070952969
exp,0.8565926470302577,0.6876946659052653,0.510133729130298,0.4523985070952969
cont,0.8386674350743709,0.7849696224502419,0.5759296336092096,0.4523985070952969
exp,0.7772850193541042,0.6081604728935701,0.3834952928984221,0.4523985070952969
exp,nan,nan,nan,0.4523985070952969
exp,nan,nan,nan,0.45239850709529694
exp,0.0,0.010220201689031204,0.0,0.9962211126852406
cont,0.0,0.009020703537803829,0.0,0.9962211126852406
exp,0.9455353468861158,0.7206816802752511,0.7940405727847003,0.4523860051569492
cont,0.8219530662802785,0.7325124430184011,0.6767737844279585,0.4523860051569492
exp,0.8637702084378932,0.636803294255174,0.7753909032812382,0.45238600515694916
cont,0.699594164284235,0.8186724709507104,0.5417891502206552,0.45238600515694916
exp,0.8909109324011709,0.3680665211010026,0.5202743906993387,0.45238600515694916
exp,0.697190792483282,0.4049601487403302,0.4837023440888983,0.45238600515694916
cont,0.6747273787062852,0.6688213526695712,0.3522959266088152,0.45238600515694916
exp,0.2182569609202802,0.4738924883023603,0.3673246712324248,0.45238600515694916
exp,0.745401256015072,0.3217091791103387,0.32177896438001263,0.45238600515694916
exp,0.74551659751994,0.31934481135231596,0.3337936685730229,0.43030401489022
cont,0.6500188953276342,0.5843308171024281,0.2399323823409982,0.43030401489022
exp,0.23968531983071334,0.4142132312470222,0.42403338094055065,0.43030401489022
cont,0.2878557040789696,0.4888423025546959,0.3956249932073453,0.43030401489022
exp,0.23968531983071334,0.4142132312470222,0.42403338094055065,0.43030401489022
cont,0.2878557040789696,0.4888423025546959,0.3956249932073453,0.43030401489022
exp,0.23968531983071334,0.4142132312470222,0.42403338094055065,0.43030401489022
exp,0.030878235193369154,0.24372810409254925,0.38769372594806073,0.43535281299237316
exp,0.2732151342467047,0.7291317810848292,0.32960314456936773,0.33513692708804455
exp,nan,nan,nan,0.4177630635665821
exp,0.26937259708174255,0.3956977693163139,0.44918999518806046,0.41112299736090974
exp,0.021510627595622597,0.2780307590829013,0.13757102561714288,0.4208496039974466
cont,0.01887810242506104,0.40403406756224997,0.1328628134662641,0.42369115057264567
exp,0.41710348106722883,0.46141718320124936,0.09631768345902927,0.41812261522584027
exp,0.9905420636809907,0.5953751315311242,0.5870085479588535,0.40915044790069
cont,0.8461195139383864,0.965490665082539,0.34846667274278686,0.40180464005030647
exp,0.5909702431185113,0.7091739628547643,0.6456179070491918,0.40785275834664264
exp,0.911129188567364,0.8632015924879931,0.8975778272413519,0.4192395303432363
cont,0.8127492433612159,0.8607495587852645,0.8414536734816502,0.41829861211344765
exp,0.9424905328807627,0.9408361946124749,0.8959828568932322,0.421368876361307
cont,0.9104588260939623,0.9139425651100163,0.8386391341704029,0.41489970944683174
exp,0.9513604060362247,0.7954113523338173,0.8069549858522664,0.41639891015182634
cont,0.8790455604311961,0.9055193749689738,0.7113377012158121,0.41670309218805107
exp,0.9436764953737342,0.6978542346812386,0.7566550538192705,0.415692177124676
cont,0.8071507265777104,0.8965046717449563,0.4876085689660574,0.4228256757683919
