alpha,corF,corN,corT
0.0,0.9682573141009436,0.07226195687576747,0.8393892851954076
0.01,0.9582196450785537,0.035915503658001856,0.8248862747563783
0.02,0.9512081632425149,0.06601855174308814,0.8157898225490646
0.03,0.9472914087658029,0.09508376996380345,0.7948765969697608
0.0,0.9682573141009436,0.07226195687576747,0.8393892851954076
0.01,0.9582196450785537,0.035915503658001856,0.8248862747563783
0.02,0.9512081632425149,0.06601855174308814,0.8157898225490646
0.03,0.9472914087658029,0.09508376996380345,0.7948765969697608
0.04,0.9468643998644815,0.027255616523988814,0.79146721252167
0.05,0.9433789194852332,0.0410079718380205,0.7883600246411467
0.06,0.9401766137849928,0.02846849767536048,0.7627590313046223
0.07,0.9371310783104562,0.04243217839132202,0.7615717667227548
0.08,0.9300689047413004,0.08531086685333618,0.7467976735523224
0.09,0.9298082494888624,0.057252553538857345,0.7350526313100982
0.1,0.9255968070071111,0.005044489011604387,0.7332494661497861
0.2,0.8986288032983625,0.06753394332352722,0.6818756150163212
0.3,0.8674754199753884,0.06079320593876158,0.6086515667017383
0.4,0.8547827630166183,0.07575089900472405,0.5908803144492537
0.5,0.851138657626148,0.10980299375789089,0.5372600627078252
0.6,0.8465373043712568,0.06797562755693043,0.526867380354556
0.7,0.8335945576410001,0.04047576402813151,0.5045394367583333
0.8,0.8315410928717551,0.10522599158359468,0.5103342160901474
0.9,0.8210164193619696,0.09789745914394576,0.5208363444710943
1.0,0.8113360256210259,0.1356751221131245,0.49285840966558825
1.1,0.8285681641583124,0.12608983021382097,0.4826369164807246
1.2,0.8243409910492093,0.09029983065664528,0.5016981818369505
1.3,0.8071052116825206,0.09787496433017179,0.4929400171552206
1.4,0.8114603409701273,0.11478935048779147,0.4917272390518717
1.5,0.8187039990851537,0.09626051894567413,0.5043851663645167
1.6,0.8108114332415098,0.08976097029589869,0.4771309396468515
1.7,0.8025219111203691,0.08509162530350015,0.47438851522320763
1.8,0.8035418739058702,0.09479840429768949,0.4360123110971726
1.9,0.7676327793758589,0.09404187540631229,0.4756182442609719
2.0,0.7980361084974659,0.11883383007079132,0.47224457371202305
2.1,0.8083363810888058,0.09259194090922801,0.4674258351539351
2.2,0.8042988149798737,0.12769137868782948,0.41912646414934535
2.3,0.7738198953171397,0.105936010553346,0.44453279846229576
2.4,0.8069853046873889,0.11000857864198946,0.41585274799993693
2.5,0.7825867443553389,0.13799178505063633,0.4074041308960338
2.6,0.7687264877703635,0.08854086483810203,0.41021351918636556
2.7,0.7523600037160949,0.06707145880965389,0.4365732868234792
2.8,0.7986747171400981,0.10660658326490748,0.38321035089685923
2.9,0.7758117361436664,0.10765589615484432,0.3915387807843378
3.0,0.7675851647294971,0.16484396728477363,0.44261996089495254
4,0.7845326496426277,0.17931370997095775,0.3376943813758866
5,0.7346108036313497,0.16224579326974728,0.24438452918364562
6,0.6350988055949083,0.11949289635218076,0.12111059357289372
7,0.6009948300453267,0.1223187339500955,0.15525573681664365
8,0.5070083711616045,0.20352113800267013,0.17151302955972095
9,0.3971002016304763,0.14574300185351904,0.16203406155718988
10,0.45613218910096603,0.21776111551140326,0.10611774194550236
11,0.377228040735412,0.1561554433247234,0.07479786903528315
12,0.39852221091765216,0.06224494082597312,0.17238498434375998
13,0.3599069056393614,0.1016828876178104,0.20350050760324198
14,0.32152975995466393,0.07850049196297376,0.029783353209668188
15,0.40301355212131584,0.08703395068301517,0.054016858131821624
16,0.41406172690751875,0.09745659911526174,0.0639300088265137
17,0.37571311926295164,0.13170499290434448,0.06706748042231485
18,0.32064441350210404,0.09274766456924852,-0.12196811215256917
19,0.2803604479193348,0.07716746282271388,0.14760673019174045
